,Year,Date,Police_Sta,Road,Address,City,State,Zip_Code,Time,Kind,Reason,Vehicle,Victim,Age,geometry,Zip_code,_Adress,x,y,year
0,2011.0,2011-01-05,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,41 Γρ. Λαμπράκη,Νίκαια,Αττική,18454.0,07:00 - 09:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,55+,POINT Z (23.66393560500006 37.97741822000006 0),,,23.663935605000063,37.97741822000006,2011.0
1,2011.0,2011-01-05,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,59 Κύπρου,Αχαρναί,Αττική,13671.0,24:00 - 07:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,motorcycle,Πεζός,0-17,POINT Z (23.74438387600003 38.07660066000005 0),,,23.74438387600003,38.076600660000054,2011.0
2,2011.0,2011-01-08,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,3 Ανδρέα Παπανδρέου 3,Ίλιον,Αττική,13121.0,17:00 - 21:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,26-35,POINT Z (23.69529918000006 38.02943606200006 0),,,23.695299180000063,38.02943606200006,2011.0
3,2011.0,2011-01-09,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,Λεωφ. Λαυρίου & Αγ. Θωμά,Παιανία,Αττική,19002.0,09:00 - 13:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,46-55,POINT Z (23.86178822200003 37.95168648600003 0),,,23.86178822200003,37.95168648600003,2011.0
4,2011.0,2011-01-13,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,7 Κύπρου,Βύρωνας,Αττική,16232.0,09:00 - 13:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,"Φορτηγό άνω των 3,5 τόνων",Πεζός,55+,POINT Z (23.75087671800003 37.96302401200006 0),,,23.75087671800003,37.96302401200006,2011.0
5,2011.0,2011-01-14,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,35 Θέτιδος,Π. Φάληρο,Αττική,17561.0,21:00 - 24:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Πεζός,55+,POINT Z (23.69473202200004 37.92708434700006 0),,,23.69473202200004,37.92708434700006,2011.0
6,2011.0,2011-01-17,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,43 χιλ Ε.οδ. Αθηνών-Μαρκόπουλου,,Αττική,0.0,24:00 - 07:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,car,Οδηγός,18-25,POINT Z (23.87869792000004 37.93587106100006 0),,,23.878697920000036,37.93587106100006,2011.0
7,2011.0,2011-01-20,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,34 Μεγ.Αλεξάνδρου,Άνω Λιόσια,Αττική,13341.0,17:00 - 21:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,motorcycle,Οδηγός,18-25,POINT Z (23.70886586900008 38.09149510300006 0),,,23.70886586900008,38.09149510300006,2011.0
8,2011.0,2011-01-22,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,125 Θηβών,Περιστέρι,Αττική,12136.0,24:00 - 07:00,Εκτροπή,Υπερβολική ταχύτητα,car,Επιβάτης,36-45,POINT Z (23.68824299200003 38.01031634400005 0),,,23.688242992000028,38.010316344000046,2011.0
9,2011.0,2011-01-26,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,Λεωφ. Αθηνών & Φαβιέρου,Χαϊδάρι,Αττική,12461.0,17:00 - 21:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Πεζός,55+,POINT Z (23.66669438700006 38.01186722100005 0),,,23.666694387000064,38.011867221000045,2011.0
10,2011.0,2011-01-27,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,2 Λ. Κατσώνη,Αγ. Ανάργυροι,Αττική,13561.0,13:00 - 17:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,46-55,POINT Z (23.71952122800008 38.01845271100007 0),,,23.719521228000076,38.018452711000066,2011.0
11,2011.0,2011-01-28,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,76 Πειραιώς,Μοσχατο,Αττική,18346.0,24:00 - 07:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,motorcycle,Οδηγός,55+,POINT Z (23.68753530700008 37.95927893800007 0),,,23.687535307000076,37.95927893800007,2011.0
12,2011.0,2011-02-01,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,200 Καλλιρόης,Αθήνα,Αττική,0.0,21:00 - 24:00,Εκτροπή,Υπερβολική ταχύτητα,motorcycle,Επιβάτης,18-25,POINT Z (23.71674812200007 37.96310374900003 0),,,23.71674812200007,37.96310374900003,2011.0
13,2011.0,2011-02-02,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,23 Λεωφ. 28ης Οκτωβρίου,Νίκαια,Αττική,18451.0,17:00 - 21:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,motorcycle,Πεζός,0-17,POINT Z (23.63762940700008 37.96798398300007 0),,,23.637629407000077,37.96798398300007,2011.0
14,2011.0,2011-02-06,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,35 Λεωφ.Βασ. Αμαλίας,Αθήνα,Αττική,10558.0,07:00 - 09:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Επιβάτης,26-35,POINT Z (23.73353239000005 37.97163676200006 0),,,23.73353239000005,37.97163676200006,2011.0
15,2011.0,2011-02-10,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,200 Ελ. Βενιζέλου,Π. Φάληρο,Αττική,17563.0,13:00 - 17:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,motorcycle,Πεζός,55+,POINT Z (23.70965669000003 37.92886254700005 0),,,23.70965669000003,37.92886254700005,2011.0
16,2011.0,2011-02-11,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,47 Λεωφ. Αθηνών,Πειραιάς,Αττική,18540.0,17:00 - 21:00,Σύγκρουση,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,46-55,POINT Z (23.65524598700006 37.94874359100004 0),,,23.655245987000058,37.94874359100004,2011.0
17,2011.0,2011-02-12,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,105 Ιερά Οδός,Αθήνα,Αττική,11855.0,24:00 - 07:00,Ανατροπή,Απόσπαση προσοχής οδηγού,motorcycle,Οδηγός,26-35,POINT Z (23.69776033400007 37.98644881600006 0),,,23.697760334000066,37.98644881600006,2011.0
18,2011.0,2011-02-13,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,Λεωφ. Βουλιαγμένης & Πινδάρου,Άλιμος,Αττική,17456.0,21:00 - 24:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,motorcycle,Πεζός,55+,POINT Z (23.74448940000008 37.92005475300004 0),,,23.744489400000077,37.920054753000045,2011.0
19,2011.0,1900-01-01,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,137 Λεωφ. Βεϊκου,Γαλάτσι,Αττική,11146.0,09:00 - 13:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,motorcycle,Πεζός,55+,POINT Z (23.75980426400002 38.02412576800003 0),,,23.759804264000024,38.02412576800003,1900.0
20,2011.0,2011-02-18,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,24 Ριζάρη,Παγκράτι,Αττική,11634.0,17:00 - 21:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Πεζός,46-55,POINT Z (23.74708065400006 37.97251000300002 0),,,23.747080654000058,37.972510003000025,2011.0
21,2011.0,2011-02-21,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Ε.Ο. Δίκτυο,"39,6 χιλ. Π.Ε.Ο. Αθηνών - Πατρών)",,Αττική,0.0,21:00 - 24:00,Παράσυρση Πεζού,Αίτια αναφερόμενα στους πεζούς,car,Πεζός,46-55,POINT Z (23.54133452700006 38.05332783000006 0),,,23.54133452700006,38.05332783000006,2011.0
