,saledate,MA,type,bedrooms,year
0,2007-09-30,441854,house,2,2007
1,2007-12-31,441854,house,2,2007
2,2008-03-31,441854,house,2,2008
3,2008-06-30,441854,house,2,2008
4,2008-09-30,451583,house,2,2008
5,2008-12-31,440256,house,2,2008
6,2009-03-31,442566,house,2,2009
7,2009-06-30,446113,house,2,2009
8,2009-09-30,440123,house,2,2009
9,2009-12-31,442131,house,2,2009
10,2010-03-31,459222,house,2,2010
11,2010-06-30,456822,house,2,2010
12,2010-09-30,457806,house,2,2010
13,2010-12-31,459109,house,2,2010
49,2007-03-31,421291,house,3,2007
50,2007-06-30,421291,house,3,2007
51,2007-09-30,421291,house,3,2007
52,2007-12-31,421291,house,3,2007
53,2008-03-31,416031,house,3,2008
54,2008-06-30,419628,house,3,2008
55,2008-09-30,423811,house,3,2008
56,2008-12-31,426488,house,3,2008
57,2009-03-31,437724,house,3,2009
58,2009-06-30,444351,house,3,2009
59,2009-09-30,449742,house,3,2009
60,2009-12-31,457394,house,3,2009
61,2010-03-31,466433,house,3,2010
62,2010-06-30,474590,house,3,2010
63,2010-09-30,483176,house,3,2010
64,2010-12-31,491715,house,3,2010
100,2007-03-31,548969,house,4,2007
101,2007-06-30,548969,house,4,2007
102,2007-09-30,548969,house,4,2007
103,2007-12-31,548969,house,4,2007
104,2008-03-31,552484,house,4,2008
105,2008-06-30,559580,house,4,2008
106,2008-09-30,561852,house,4,2008
107,2008-12-31,565467,house,4,2008
108,2009-03-31,569682,house,4,2009
109,2009-06-30,574680,house,4,2009
110,2009-09-30,579369,house,4,2009
111,2009-12-31,588379,house,4,2009
112,2010-03-31,599614,house,4,2010
113,2010-06-30,608528,house,4,2010
114,2010-09-30,615603,house,4,2010
115,2010-12-31,623105,house,4,2010
151,2007-09-30,735904,house,5,2007
152,2007-12-31,735904,house,5,2007
153,2008-03-31,735904,house,5,2008
154,2008-06-30,735904,house,5,2008
155,2008-09-30,758340,house,5,2008
156,2008-12-31,764025,house,5,2008
157,2009-03-31,770046,house,5,2009
158,2009-06-30,765555,house,5,2009
159,2009-09-30,765515,house,5,2009
160,2009-12-31,771280,house,5,2009
161,2010-03-31,773355,house,5,2010
162,2010-06-30,776325,house,5,2010
163,2010-09-30,772699,house,5,2010
164,2010-12-31,775199,house,5,2010
200,2007-12-31,326076,unit,1,2007
201,2008-03-31,326076,unit,1,2008
202,2008-06-30,326076,unit,1,2008
203,2008-09-30,326076,unit,1,2008
204,2008-12-31,327321,unit,1,2008
205,2009-03-31,324712,unit,1,2009
206,2009-06-30,323556,unit,1,2009
207,2009-09-30,318922,unit,1,2009
208,2009-12-31,316914,unit,1,2009
209,2010-03-31,316751,unit,1,2010
210,2010-06-30,317711,unit,1,2010
211,2010-09-30,318695,unit,1,2010
212,2010-12-31,324778,unit,1,2010
248,2007-06-30,368817,unit,2,2007
249,2007-09-30,368817,unit,2,2007
250,2007-12-31,368817,unit,2,2007
251,2008-03-31,368817,unit,2,2008
252,2008-06-30,373482,unit,2,2008
253,2008-09-30,377481,unit,2,2008
254,2008-12-31,382010,unit,2,2008
255,2009-03-31,380810,unit,2,2009
256,2009-06-30,385791,unit,2,2009
257,2009-09-30,391161,unit,2,2009
258,2009-12-31,396448,unit,2,2009
259,2010-03-31,402898,unit,2,2010
260,2010-06-30,408608,unit,2,2010
261,2010-09-30,412509,unit,2,2010
262,2010-12-31,415991,unit,2,2010
298,2007-09-30,518911,unit,3,2007
299,2007-12-31,518911,unit,3,2007
300,2008-03-31,518911,unit,3,2008
301,2008-06-30,518911,unit,3,2008
302,2008-09-30,518911,unit,3,2008
303,2008-12-31,518911,unit,3,2008
304,2009-03-31,518911,unit,3,2009
305,2009-06-30,518911,unit,3,2009
306,2009-09-30,523285,unit,3,2009
307,2009-12-31,522862,unit,3,2009
308,2010-03-31,524008,unit,3,2010
309,2010-06-30,535063,unit,3,2010
310,2010-09-30,538694,unit,3,2010
311,2010-12-31,555117,unit,3,2010
